,0,,
0,507.5,MEAN,14411.68
1,8,STDEV,33719.80903
2,40716,,
3,55659.5,,
4,0.5,,
5,1573.5,,
6,79159.5,,
7,91202,,
8,1494,,
9,85607,,
10,8.5,,
11,22355.5,,
12,8561.5,,
13,4317.5,,
14,13237.5,,
15,4596,,
16,1589.5,,
17,40506.5,,
18,2,,
19,18461.5,,
20,-8,,
21,72785,,
22,19763.5,,
23,4930,,
24,21710,,
25,0.5,,
26,5008,,
27,29259.5,,
28,17900.5,,
29,664,,
30,2551,,
31,-4,,
32,83694,,
33,4091.5,,
34,76389,,
35,104257.5,,
36,9.5,,
37,1599,,
38,87812,,
39,5410,,
40,6.5,,
41,1025,,
42,-16,,
43,27738.5,,
44,8.5,,
45,3349.5,,
46,94243.5,,
47,86834,,
48,-1.5,,
49,10,,
