,2,3,4,5,6,7,8,9,T,A
4,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,hit,double,double,double,double,hit,hit,hit,hit,hit
10,double,double,double,double,double,double,double,double,hit,hit
11,double,double,double,double,double,double,double,double,double,hit
12,hit,hit,stay,stay,stay,hit,hit,hit,hit,hit
13,stay,stay,stay,stay,stay,hit,hit,hit,hit,hit
14,stay,stay,stay,stay,stay,hit,hit,hit,hit,hit
15,stay,stay,stay,stay,stay,hit,hit,hit,hit,hit
16,stay,stay,stay,stay,stay,hit,hit,hit,hit,hit
17,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
18,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
19,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
20,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
21,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
