,2,3,4,5,6,7,8,9,T,A
22,split,split,split,split,split,split,hit,hit,hit,hit
33,split,split,split,split,split,split,hit,hit,hit,hit
44,hit,hit,hit,split,split,hit,hit,hit,hit,hit
55,double,double,double,double,double,double,double,double,hit,hit
66,split,split,split,split,split,hit,hit,hit,hit,hit
77,split,split,split,split,split,split,hit,hit,hit,hit
88,split,split,split,split,split,split,split,split,split,split
99,split,split,split,split,split,stay,split,split,stay,stay
TT,stay,stay,stay,stay,stay,stay,stay,stay,stay,stay
AA,split,split,split,split,split,split,split,split,split,split
